제품명,계절,구매 년도,카테고리,구매처,브랜드여부,구매 전 착용 여부,색상,가격,유행 여부,구매 목적,최근 1년 내 착용 여부,착용 빈도,만족도,주변 평가,성공점수,색상그룹,가격_bin,가격_q_bin
배색 가디건 네이비,봄가을,2021,상의,온라인,보세,1,네이비,3,무난,일상,1,5,5,3,4.333333333,블루 계열,1-4,매우 낮은 가격
배색 가디건 하늘,봄가을,2021,상의,오프라인,보세,1,스카이블루,3,무난,일상,1,3,4,4,3.666666667,블루 계열,1-4,매우 낮은 가격
줄무늬 티셔츠,봄가을,2014,상의,오프라인,보세,0,네이비,1,무난,일상,1,4,5,4,4.333333333,블루 계열,1-4,매우 낮은 가격
파란색 크롭 셔츠,봄가을,2023,상의,온라인,SPA,0,스카이블루,4,유행,일상,1,4,4,4,4.0,블루 계열,1-4,낮은 가격
숏 트렌치 코트,봄가을,2023,겉옷,오프라인,브랜드,1,베이지,16,유행,일상,1,3,4,3,3.333333333,브라운 계열,12-16,높은 가격
부츠컷 청바지_loc,봄가을,2023,하의,오프라인,보세,1,데님,4,유행,일상,1,5,5,5,5.0,블루 계열,1-4,낮은 가격
연청 청바지,봄가을,2023,하의,오프라인,보세,1,데님,5,유행,일상,1,4,4,3,3.666666667,블루 계열,4-8,중간 가격
진청 청바지_zara,봄가을,2021,하의,오프라인,SPA,1,데님,5,무난,일상,1,5,5,5,5.0,블루 계열,4-8,중간 가격
화이트 바지,봄가을,2022,하의,온라인,보세,0,아이보리,3,무난,일상,1,3,3,4,3.333333333,화이트 계열,1-4,매우 낮은 가격
진그레이 바지,봄가을,2022,하의,온라인,보세,0,차콜,3,무난,일상,1,3,3,3,3.0,그레이 계열,1-4,매우 낮은 가격
하늘색 니트,겨울,2021,상의,오프라인,보세,0,스카이블루,3,무난,일상,1,4,4,3,3.666666667,블루 계열,1-4,매우 낮은 가격
슬랙스_미쏘,겨울,2018,하의,오프라인,SPA,1,블랙,4,무난,출근,1,3,3,3,3.0,블랙 계열,1-4,낮은 가격
와이드 슬랙스_블랙,봄가을,2020,하의,오프라인,보세,1,블랙,5,유행,일상,1,4,5,3,4.0,블랙 계열,4-8,중간 가격
정장 슬랙스_면접용,봄가을,2022,하의,오프라인,브랜드,1,블랙,9,격식,행사,1,2,5,5,4.0,블랙 계열,8-12,높은 가격
베이지색 슬랙스,겨울,2021,하의,오프라인,브랜드,1,베이지,8,격식,출근,0,1,2,3,2.0,브라운 계열,4-8,높은 가격
검정 롱치마,겨울,2021,하의,오프라인,보세,1,블랙,3,무난,출근,1,1,1,1,1.0,블랙 계열,1-4,매우 낮은 가격
검정 미니스커트,봄가을,2021,하의,오프라인,SPA,1,블랙,4,무난,일상,1,3,5,5,4.333333333,블랙 계열,1-4,낮은 가격
미디스커트_에드모어,봄가을,2021,하의,온라인,보세,0,블랙,4,유행,출근,1,1,2,3,2.0,블랙 계열,1-4,낮은 가격
회색 가디건_자라,겨울,2018,상의,오프라인,SPA,1,그레이,5,무난,일상,1,3,4,4,3.666666667,그레이 계열,4-8,중간 가격
회색 집업 가디건,겨울,2022,겉옷,오프라인,보세,1,그레이,5,유행,일상,1,5,4,4,4.333333333,그레이 계열,4-8,중간 가격
퍼플 가디건,겨울,2019,상의,오프라인,브랜드,0,퍼플,4,무난,일상,0,5,5,5,5.0,핑크 계열,1-4,낮은 가격
레터링티(하늘색),여름,2022,상의,오프라인,보세,0,화이트,2,무난,일상,1,3,3,3,3.0,화이트 계열,1-4,매우 낮은 가격
하늘색 뷔스티에 원피스,여름,2022,원피스,오프라인,보세,1,스카이블루,4,무난,여행,1,1,1,1,1.0,블루 계열,1-4,낮은 가격
꽃무늬 원피스_네이비,봄가을,2017,원피스,오프라인,보세,0,네이비,2,무난,일상,0,2,5,5,4.0,블루 계열,1-4,매우 낮은 가격
반팔 꽃무늬 원피스_앤아더,여름,2021,원피스,오프라인,SPA,1,블랙,8,무난,일상,1,3,4,5,4.0,블랙 계열,4-8,높은 가격
회색 후드집업,봄가을,2022,상의,오프라인,SPA,1,그레이,3,무난,운동,1,2,3,3,2.666666667,그레이 계열,1-4,매우 낮은 가격
회색 추리닝 바지,봄가을,2022,하의,오프라인,SPA,1,그레이,3,무난,운동,1,5,5,3,4.333333333,그레이 계열,1-4,매우 낮은 가격
진회색 후드,겨울,2019,상의,오프라인,SPA,1,차콜,4,무난,일상,1,4,4,3,3.666666667,그레이 계열,1-4,낮은 가격
